Text,People,Organizations,Locations,Date,Event,Domain,clean_text,processed_text
Sundar Pichai became CEO of Reliance Industries following the acquisition.,Sundar Pichai,Reliance Industries; Samsung,"New York, USA",1541-12-19,acquisition,Business,sundar pichai became ceo of reliance industries following the acquisition,sundar pichai became ceo reliance industry following acquisition
"Researchers at Max Planck Institute reported a field research in Geneva, Switzerland.",Jane Goodall,Max Planck Institute,"Geneva, Switzerland",1912-04-20,field research,Science,researchers at max planck institute reported a field research in geneva switzerland,researcher max planck institute reported field research geneva switzerland
Sundar Pichai became CEO of Tesla following the acquisition.,Sundar Pichai,Tesla,"Mumbai, India",1936-01-19,acquisition,Business,sundar pichai became ceo of tesla following the acquisition,sundar pichai became ceo tesla following acquisition
"International Rice Research Institute introduced a yield improvement study to improve yields in Punjab, India.",Norman Borlaug,International Rice Research Institute,"Punjab, India",1680-11-10,yield improvement study,Agriculture,international rice research institute introduced a yield improvement study to improve yields in punjab india,international rice research institute introduced yield improvement study improve yield punjab india
A study on climate study led by Albert Einstein was published on 1771-02-18.,Albert Einstein,Harvard University,"Cambridge, UK",1771-02-18,climate study,Science,a study on climate study led by albert einstein was published on,study climate study led albert einstein published
"Wangari Maathai led trials of irrigation technique adoption in Lima, Peru.",Wangari Maathai,CIMMYT,"Lima, Peru",1664-09-24,irrigation technique adoption,Agriculture,wangari maathai led trials of irrigation technique adoption in lima peru,wangari maathai led trial irrigation technique adoption lima peru
"A summit was passed by Parliament impacting Geneva, Switzerland.",Kamala Harris,Parliament,"Geneva, Switzerland",1834-09-06,summit,Politics,a summit was passed by parliament impacting geneva switzerland,summit passed parliament impacting geneva switzerland
"Rachel Carson led trials of irrigation technique adoption in Punjab, India.",Rachel Carson; M. S. Swaminathan,ICAR,"Punjab, India",1726-06-24,irrigation technique adoption,Agriculture,rachel carson led trials of irrigation technique adoption in punjab india,rachel carson led trial irrigation technique adoption punjab india
NBA announced a new tournament for 2022-2023.,Serena Williams,NBA,"Melbourne, Australia",1798-06-14,tournament,Sports,nba announced a new tournament for,nba announced new tournament
"The expedition marked a turning point in Berlin, Germany's history.",Nelson Mandela,Ottoman Empire,"Berlin, Germany",1515-01-27,expedition,History,the expedition marked a turning point in berlin germanys history,expedition marked turning point berlin germany history
"M. S. Swaminathan led trials of yield improvement study in Punjab, India.",M. S. Swaminathan,International Rice Research Institute,"Punjab, India",1871-01-30,yield improvement study,Agriculture,m s swaminathan led trials of yield improvement study in punjab india,swaminathan led trial yield improvement study punjab india
"Pablo Picasso premiered a painting at Madrid, Spain.",Pablo Picasso,Royal Academy,"Madrid, Spain",1726-11-06,painting,Arts,pablo picasso premiered a painting at madrid spain,pablo picasso premiered painting madrid spain
"The battle took place in Delhi, India and involved Roman Senate.",Julius Caesar,Roman Senate,"Delhi, India",1583-08-07,battle,History,the battle took place in delhi india and involved roman senate,battle took place delhi india involved roman senate
"A famous exhibition by Leonardo da Vinci is housed in Metropolitan Opera in New York, USA.",Leonardo da Vinci,Metropolitan Opera; Sydney Opera House,"New York, USA",1525-08-28,exhibition,Arts,a famous exhibition by leonardo da vinci is housed in metropolitan opera in new york usa,famous exhibition leonardo da vinci housed metropolitan opera new york usa
"A policy announcement was passed by United Nations impacting Washington, USA.",Angela Merkel,United Nations,"Washington, USA",1703-01-19,policy announcement,Politics,a policy announcement was passed by united nations impacting washington usa,policy announcement passed united nation impacting washington usa
"The uprising took place in Versailles, France and involved Allied Powers.",Cleopatra,Allied Powers,"Versailles, France",1949-11-29,uprising,History,the uprising took place in versailles france and involved allied powers,uprising took place versailles france involved allied power
"The season opener in London, UK featured Lionel Messi and NBA.",Lionel Messi; Cristiano Ronaldo,NBA,"London, UK",1631-12-02,season opener,Sports,the season opener in london uk featured lionel messi and nba,season opener london uk featured lionel messi nba
"Records show uprising happened in Berlin, Germany around 1539-09-02.",Nelson Mandela,Ottoman Empire,"Berlin, Germany",1539-09-02,uprising,History,records show uprising happened in berlin germany around,record show uprising happened berlin germany around
"Kamala Harris met leaders from Parliament in Geneva, Switzerland to discuss summit.",Kamala Harris,Parliament,"Geneva, Switzerland",1767-10-20,summit,Politics,kamala harris met leaders from parliament in geneva switzerland to discuss summit,kamala harris met leader parliament geneva switzerland discus summit
NASA announced a field research that impacts genetics.,Marie Curie,NASA,"Cambridge, UK",1631-02-12,field research,Science,nasa announced a field research that impacts genetics,nasa announced field research impact genetics
A study on particle discovery led by Rosalind Franklin was published on 1538-06-17.,Rosalind Franklin,CERN,"Geneva, Switzerland",1538-06-17,particle discovery,Science,a study on particle discovery led by rosalind franklin was published on,study particle discovery led rosalind franklin published
Siemens acquired Reliance Industries in a deal valued at $1.2B.,Indra Nooyi,Siemens,"Mumbai, India",2012-08-26,acquisition,Business,siemens acquired reliance industries in a deal valued at b,siemens acquired reliance industry deal valued b
"A bill passage was passed by European Union impacting New Delhi, India.",Narendra Modi,European Union,"New Delhi, India",2015-04-01,bill passage,Politics,a bill passage was passed by european union impacting new delhi india,bill passage passed european union impacting new delhi india
"Researchers at CERN reported a field research in Cambridge, UK.",Rosalind Franklin,CERN,"Cambridge, UK",1607-03-01,field research,Science,researchers at cern reported a field research in cambridge uk,researcher cern reported field research cambridge uk
"Sydney Opera House announced restoration of the painting in New York, USA.",Vincent van Gogh,Sydney Opera House,"New York, USA",1927-12-08,painting,Arts,sydney opera house announced restoration of the painting in new york usa,sydney opera house announced restoration painting new york usa
"Records show expedition happened in Constantinople, Turkey around 1757-05-31.",Nelson Mandela,Ottoman Empire,"Constantinople, Turkey",1757-05-31,expedition,History,records show expedition happened in constantinople turkey around,record show expedition happened constantinople turkey around
"The tournament in Madrid, Spain featured M.S. Dhoni and Wimbledon.",M.S. Dhoni; Serena Williams,Wimbledon,"Madrid, Spain",1920-12-12,tournament,Sports,the tournament in madrid spain featured ms dhoni and wimbledon,tournament madrid spain featured m dhoni wimbledon
Julius Caesar was a key figure in the Treaty signing.,Julius Caesar,Ottoman Empire,"Constantinople, Turkey",1966-10-03,Treaty signing,History,julius caesar was a key figure in the treaty signing,julius caesar key figure treaty signing
SpaceX released a robotics that improves 5G networks.,Satya Nadella,SpaceX,"Shenzhen, China",1522-08-29,robotics,Technology,spacex released a robotics that improves g networks,spacex released robotics improves g network
"Records show battle happened in Constantinople, Turkey around 1549-02-10.",Winston Churchill,Allied Powers; Mughal Empire,"Constantinople, Turkey",1549-02-10,battle,History,records show battle happened in constantinople turkey around,record show battle happened constantinople turkey around
Max Planck Institute announced a particle discovery that impacts climatology.,Jane Goodall,Max Planck Institute,"Geneva, Switzerland",1891-04-28,particle discovery,Science,max planck institute announced a particle discovery that impacts climatology,max planck institute announced particle discovery impact climatology
"Records show coronation happened in Rome, Italy around 1988-08-07.",Julius Caesar,British Empire,"Rome, Italy",1988-08-07,coronation,History,records show coronation happened in rome italy around,record show coronation happened rome italy around
"Farmers in Lima, Peru adopted irrigation technique adoption developed by ICAR.",Rachel Carson,ICAR,"Lima, Peru",1706-09-16,irrigation technique adoption,Agriculture,farmers in lima peru adopted irrigation technique adoption developed by icar,farmer lima peru adopted irrigation technique adoption developed icar
"The season opener in London, UK featured Serena Williams and FC Barcelona.",Serena Williams,FC Barcelona,"London, UK",1870-10-13,season opener,Sports,the season opener in london uk featured serena williams and fc barcelona,season opener london uk featured serena williams fc barcelona
"Norman Borlaug led trials of yield improvement study in Nairobi, Kenya.",Norman Borlaug; Rachel Carson,FAO,"Nairobi, Kenya",1660-12-07,yield improvement study,Agriculture,norman borlaug led trials of yield improvement study in nairobi kenya,norman borlaug led trial yield improvement study nairobi kenya
"Records show coronation happened in Constantinople, Turkey around 1821-08-26.",Cleopatra,Mughal Empire,"Constantinople, Turkey",1821-08-26,coronation,History,records show coronation happened in constantinople turkey around,record show coronation happened constantinople turkey around
Beyoncé exhibited a new exhibition at Tate Modern.,Beyoncé,Tate Modern,"New York, USA",1738-01-27,exhibition,Arts,beyoncé exhibited a new exhibition at tate modern,beyoncé exhibited new exhibition tate modern
A breakthrough in 5G networks was reported by OpenAI.,Satya Nadella,OpenAI,"Stockholm, Sweden",1932-08-01,5G networks,Technology,a breakthrough in g networks was reported by openai,breakthrough g network reported openai
Wimbledon announced a new season opener for 2024-2025.,Lionel Messi,Wimbledon,"Madrid, Spain",1656-10-26,season opener,Sports,wimbledon announced a new season opener for,wimbledon announced new season opener
"Beyoncé premiered a exhibition at Vienna, Austria.",Beyoncé,Metropolitan Opera,"Vienna, Austria",1892-01-18,exhibition,Arts,beyoncé premiered a exhibition at vienna austria,beyoncé premiered exhibition vienna austria
Indra Nooyi became CEO of Siemens following the merger.,Indra Nooyi,Siemens,"Mumbai, India",1744-10-09,merger,Business,indra nooyi became ceo of siemens following the merger,indra nooyi became ceo siemens following merger
"The season opener in Madrid, Spain featured Lionel Messi and NBA.",Lionel Messi,NBA; FC Barcelona,"Madrid, Spain",1768-03-03,season opener,Sports,the season opener in madrid spain featured lionel messi and nba,season opener madrid spain featured lionel messi nba
"Norman Borlaug led trials of irrigation technique adoption in Iowa, USA.",Norman Borlaug,AgriTech Ltd; ICAR,"Iowa, USA",1921-02-02,irrigation technique adoption,Agriculture,norman borlaug led trials of irrigation technique adoption in iowa usa,norman borlaug led trial irrigation technique adoption iowa usa
"Sydney Opera House announced restoration of the opera in Madrid, Spain.",Vincent van Gogh; Pablo Picasso,Sydney Opera House,"Madrid, Spain",1841-11-27,opera,Arts,sydney opera house announced restoration of the opera in madrid spain,sydney opera house announced restoration opera madrid spain
A breakthrough in AI-driven sensors was reported by Apple.,Sundar Pichai; Marissa Mayer,Apple,"Bengaluru, India",1775-12-25,quantum computing,Technology,a breakthrough in aidriven sensors was reported by apple,breakthrough aidriven sensor reported apple
"Barack Obama met leaders from Congress in Washington, USA to discuss policy announcement.",Barack Obama,Congress; European Union,"Washington, USA",1740-09-25,policy announcement,Politics,barack obama met leaders from congress in washington usa to discuss policy announcement,barack obama met leader congress washington usa discus policy announcement
Mahatma Gandhi was a key figure in the Treaty signing.,Mahatma Gandhi,Mughal Empire,"Constantinople, Turkey",1642-02-11,Treaty signing,History,mahatma gandhi was a key figure in the treaty signing,mahatma gandhi key figure treaty signing
A study by Norman Borlaug showed benefits of pest control trial for soybeans.,Norman Borlaug,CIMMYT,"Nairobi, Kenya",1651-10-23,pest control trial,Agriculture,a study by norman borlaug showed benefits of pest control trial for soybeans,study norman borlaug showed benefit pest control trial soybean
Samsung acquired Reliance Industries in a deal valued at $15M.,Jamie Dimon,Samsung,"Mumbai, India",1612-07-10,acquisition,Business,samsung acquired reliance industries in a deal valued at m,samsung acquired reliance industry deal valued
A study by M. S. Swaminathan showed benefits of yield improvement study for maize.,M. S. Swaminathan,AgriTech Ltd,"Punjab, India",1893-08-02,yield improvement study,Agriculture,a study by m s swaminathan showed benefits of yield improvement study for maize,study swaminathan showed benefit yield improvement study maize
"Wangari Maathai led trials of pest control trial in Iowa, USA.",Wangari Maathai,International Rice Research Institute,"Iowa, USA",1711-12-15,pest control trial,Agriculture,wangari maathai led trials of pest control trial in iowa usa,wangari maathai led trial pest control trial iowa usa
"Researchers at Harvard University reported a field research in Cape Town, South Africa.",Albert Einstein,Harvard University,"Cape Town, South Africa",1828-09-04,field research,Science,researchers at harvard university reported a field research in cape town south africa,researcher harvard university reported field research cape town south africa
merger led to restructuring at Goldman Sachs.,Tim Cook,Goldman Sachs,"New York, USA",1927-10-04,merger,Business,merger led to restructuring at goldman sachs,merger led restructuring goldman sachs
A breakthrough in robotics was reported by SpaceX.,Ada Lovelace,SpaceX,"London, UK",1908-01-29,AI-driven sensors,Technology,a breakthrough in robotics was reported by spacex,breakthrough robotics reported spacex
Wimbledon announced a new final match for 2022-2023.,Cristiano Ronaldo,Wimbledon,"Madrid, Spain",1599-02-04,final match,Sports,wimbledon announced a new final match for,wimbledon announced new final match
"The season opener in Madrid, Spain featured Cristiano Ronaldo and Wimbledon.",Cristiano Ronaldo,Wimbledon,"Madrid, Spain",1956-04-04,season opener,Sports,the season opener in madrid spain featured cristiano ronaldo and wimbledon,season opener madrid spain featured cristiano ronaldo wimbledon
Albert Einstein published findings on particle discovery at NASA.,Albert Einstein; Rosalind Franklin,NASA,"Cape Town, South Africa",1743-06-03,particle discovery,Science,albert einstein published findings on particle discovery at nasa,albert einstein published finding particle discovery nasa
"Researchers at NASA reported a field research in Cambridge, UK.",Albert Einstein,NASA,"Cambridge, UK",1798-12-10,field research,Science,researchers at nasa reported a field research in cambridge uk,researcher nasa reported field research cambridge uk
"Kamala Harris announced policy changes regarding climate at Washington, USA.",Kamala Harris,Congress,"Washington, USA",1575-07-04,bill passage,Politics,kamala harris announced policy changes regarding climate at washington usa,kamala harris announced policy change regarding climate washington usa
A study by Wangari Maathai showed benefits of yield improvement study for maize.,Wangari Maathai,International Rice Research Institute,"Iowa, USA",1701-04-04,yield improvement study,Agriculture,a study by wangari maathai showed benefits of yield improvement study for maize,study wangari maathai showed benefit yield improvement study maize
Google released a 5G networks that improves robotics.,Ada Lovelace,Google,"Bengaluru, India",1654-04-26,5G networks,Technology,google released a g networks that improves robotics,google released g network improves robotics
A study by Rachel Carson showed benefits of irrigation technique adoption for wheat.,Rachel Carson; George Washington Carver,CIMMYT,"Lima, Peru",1801-12-20,irrigation technique adoption,Agriculture,a study by rachel carson showed benefits of irrigation technique adoption for wheat,study rachel carson showed benefit irrigation technique adoption wheat
"Ada Lovelace led the launch of a quantum computing in London, UK.",Ada Lovelace,Microsoft,"London, UK",1960-07-30,quantum computing,Technology,ada lovelace led the launch of a quantum computing in london uk,ada lovelace led launch quantum computing london uk
"Siemens opened a new office in Mumbai, India to expand cloud services.",Jamie Dimon,Siemens,"Mumbai, India",1527-11-20,acquisition,Business,siemens opened a new office in mumbai india to expand cloud services,siemens opened new office mumbai india expand cloud service
"Marissa Mayer led the launch of a robotics in Shenzhen, China.",Marissa Mayer,Microsoft,"Shenzhen, China",1514-02-24,robotics,Technology,marissa mayer led the launch of a robotics in shenzhen china,marissa mayer led launch robotics shenzhen china
Grace Hopper announced a new 5G networks at Apple.,Grace Hopper,Apple,"Stockholm, Sweden",1681-03-12,5G networks,Technology,grace hopper announced a new g networks at apple,grace hopper announced new g network apple
Wimbledon announced a new tournament for 2022-2023.,Serena Williams,Wimbledon,"London, UK",1689-09-18,tournament,Sports,wimbledon announced a new tournament for,wimbledon announced new tournament
Indra Nooyi became CEO of Siemens following the IPO.,Indra Nooyi,Siemens,"New York, USA",1875-06-24,IPO,Business,indra nooyi became ceo of siemens following the ipo,indra nooyi became ceo siemens following ipo
"A summit was passed by Parliament impacting Geneva, Switzerland.",Barack Obama,Parliament,"Geneva, Switzerland",1947-10-30,summit,Politics,a summit was passed by parliament impacting geneva switzerland,summit passed parliament impacting geneva switzerland
Tim Cook became CEO of Samsung following the IPO.,Tim Cook,Samsung,"Mumbai, India",1699-06-30,IPO,Business,tim cook became ceo of samsung following the ipo,tim cook became ceo samsung following ipo
"Farmers in Nairobi, Kenya adopted yield improvement study developed by AgriTech Ltd.",Norman Borlaug,AgriTech Ltd,"Nairobi, Kenya",1777-01-02,yield improvement study,Agriculture,farmers in nairobi kenya adopted yield improvement study developed by agritech ltd,farmer nairobi kenya adopted yield improvement study developed agritech ltd
Mahatma Gandhi was a key figure in the battle.,Mahatma Gandhi,Mughal Empire,"Rome, Italy",1563-11-06,battle,History,mahatma gandhi was a key figure in the battle,mahatma gandhi key figure battle
"Records show uprising happened in Constantinople, Turkey around 1537-02-18.",Winston Churchill,Allied Powers,"Constantinople, Turkey",1537-02-18,uprising,History,records show uprising happened in constantinople turkey around,record show uprising happened constantinople turkey around
CERN announced a particle discovery that impacts genetics.,Rosalind Franklin,CERN,"Cape Town, South Africa",1845-03-23,particle discovery,Science,cern announced a particle discovery that impacts genetics,cern announced particle discovery impact genetics
"Researchers at NASA reported a particle discovery in Cape Town, South Africa.",Marie Curie,NASA,"Cape Town, South Africa",1978-12-22,particle discovery,Science,researchers at nasa reported a particle discovery in cape town south africa,researcher nasa reported particle discovery cape town south africa
Jane Goodall published findings on field research at CERN.,Jane Goodall,CERN,"Geneva, Switzerland",1838-06-27,field research,Science,jane goodall published findings on field research at cern,jane goodall published finding field research cern
"ICAR introduced a irrigation technique adoption to improve yields in Nairobi, Kenya.",M. S. Swaminathan,ICAR,"Nairobi, Kenya",1733-03-10,irrigation technique adoption,Agriculture,icar introduced a irrigation technique adoption to improve yields in nairobi kenya,icar introduced irrigation technique adoption improve yield nairobi kenya
Reliance Industries acquired Reliance Industries in a deal valued at $450M.,Sundar Pichai,Reliance Industries,"New York, USA",1576-11-04,acquisition,Business,reliance industries acquired reliance industries in a deal valued at m,reliance industry acquired reliance industry deal valued
Sundar Pichai became CEO of Reliance Industries following the merger.,Sundar Pichai; Jamie Dimon,Reliance Industries,"New York, USA",1917-05-27,merger,Business,sundar pichai became ceo of reliance industries following the merger,sundar pichai became ceo reliance industry following merger
"A policy announcement was passed by European Union impacting Washington, USA.",Angela Merkel; Kamala Harris,European Union,"Washington, USA",1557-10-01,policy announcement,Politics,a policy announcement was passed by european union impacting washington usa,policy announcement passed european union impacting washington usa
"ICAR introduced a irrigation technique adoption to improve yields in Nairobi, Kenya.",Wangari Maathai,ICAR,"Nairobi, Kenya",2014-09-13,irrigation technique adoption,Agriculture,icar introduced a irrigation technique adoption to improve yields in nairobi kenya,icar introduced irrigation technique adoption improve yield nairobi kenya
"International Rice Research Institute introduced a irrigation technique adoption to improve yields in Lima, Peru.",Rachel Carson,International Rice Research Institute,"Lima, Peru",2003-08-28,irrigation technique adoption,Agriculture,international rice research institute introduced a irrigation technique adoption to improve yields in lima peru,international rice research institute introduced irrigation technique adoption improve yield lima peru
A study by Wangari Maathai showed benefits of pest control trial for soybeans.,Wangari Maathai,CIMMYT,"Nairobi, Kenya",1920-06-03,pest control trial,Agriculture,a study by wangari maathai showed benefits of pest control trial for soybeans,study wangari maathai showed benefit pest control trial soybean
"Satya Nadella led the launch of a AI-driven sensors in Shenzhen, China.",Satya Nadella; Sundar Pichai,Google,"Shenzhen, China",1585-04-15,AI-driven sensors,Technology,satya nadella led the launch of a aidriven sensors in shenzhen china,satya nadella led launch aidriven sensor shenzhen china
NBA announced a new season opener for 2022-2023.,M.S. Dhoni,NBA,"London, UK",1996-02-05,season opener,Sports,nba announced a new season opener for,nba announced new season opener
"Marissa Mayer led the launch of a quantum computing in Bengaluru, India.",Marissa Mayer,OpenAI,"Bengaluru, India",1667-06-07,quantum computing,Technology,marissa mayer led the launch of a quantum computing in bengaluru india,marissa mayer led launch quantum computing bengaluru india
Tim Berners-Lee announced a new 5G networks at Google.,Tim Berners-Lee,Google,"London, UK",1779-02-13,5G networks,Technology,tim bernerslee announced a new g networks at google,tim bernerslee announced new g network google
Rosalind Franklin published findings on climate study at Max Planck Institute.,Rosalind Franklin; Jane Goodall,Max Planck Institute,"Geneva, Switzerland",1563-11-20,climate study,Science,rosalind franklin published findings on climate study at max planck institute,rosalind franklin published finding climate study max planck institute
A study on climate study led by Rosalind Franklin was published on 1980-12-14.,Rosalind Franklin,NASA,"Cambridge, UK",1980-12-14,climate study,Science,a study on climate study led by rosalind franklin was published on,study climate study led rosalind franklin published
