Text,People,Organizations,Locations,Date,Event,Domain
NBA announced a new season opener for 2023-2024.,Lionel Messi; Cristiano Ronaldo,NBA,"Melbourne, Australia",1522-10-22,season opener,Sports
"M. S. Swaminathan led trials of pest control trial in Lima, Peru.",M. S. Swaminathan; Norman Borlaug,FAO,"Lima, Peru",1858-06-12,pest control trial,Agriculture
"Barack Obama announced policy changes regarding climate at Geneva, Switzerland.",Barack Obama,European Union,"Geneva, Switzerland",1842-04-27,policy announcement,Politics
"Barack Obama met leaders from Parliament in Washington, USA to discuss policy announcement.",Barack Obama; Angela Merkel,Parliament,"Washington, USA",1792-11-30,policy announcement,Politics
"A famous opera by Vincent van Gogh is housed in Tate Modern in Madrid, Spain.",Vincent van Gogh,Tate Modern,"Madrid, Spain",1521-12-23,opera,Arts
"Satya Nadella led the launch of a AI-driven sensors in Silicon Valley, USA.",Satya Nadella,Intel,"Silicon Valley, USA",1587-08-01,AI-driven sensors,Technology
Sundar Pichai became CEO of Reliance Industries following the acquisition.,Sundar Pichai,Reliance Industries; Samsung,"New York, USA",1541-12-19,acquisition,Business
"Researchers at Max Planck Institute reported a field research in Geneva, Switzerland.",Jane Goodall,Max Planck Institute,"Geneva, Switzerland",1912-04-20,field research,Science
Sundar Pichai became CEO of Tesla following the acquisition.,Sundar Pichai,Tesla,"Mumbai, India",1936-01-19,acquisition,Business
"International Rice Research Institute introduced a yield improvement study to improve yields in Punjab, India.",Norman Borlaug,International Rice Research Institute,"Punjab, India",1680-11-10,yield improvement study,Agriculture
A study on climate study led by Albert Einstein was published on 1771-02-18.,Albert Einstein,Harvard University,"Cambridge, UK",1771-02-18,climate study,Science
"Wangari Maathai led trials of irrigation technique adoption in Lima, Peru.",Wangari Maathai,CIMMYT,"Lima, Peru",1664-09-24,irrigation technique adoption,Agriculture
"A summit was passed by Parliament impacting Geneva, Switzerland.",Kamala Harris,Parliament,"Geneva, Switzerland",1834-09-06,summit,Politics
"Rachel Carson led trials of irrigation technique adoption in Punjab, India.",Rachel Carson; M. S. Swaminathan,ICAR,"Punjab, India",1726-06-24,irrigation technique adoption,Agriculture
NBA announced a new tournament for 2022-2023.,Serena Williams,NBA,"Melbourne, Australia",1798-06-14,tournament,Sports
"The expedition marked a turning point in Berlin, Germany's history.",Nelson Mandela,Ottoman Empire,"Berlin, Germany",1515-01-27,expedition,History
"M. S. Swaminathan led trials of yield improvement study in Punjab, India.",M. S. Swaminathan,International Rice Research Institute,"Punjab, India",1871-01-30,yield improvement study,Agriculture
"Pablo Picasso premiered a painting at Madrid, Spain.",Pablo Picasso,Royal Academy,"Madrid, Spain",1726-11-06,painting,Arts
"The battle took place in Delhi, India and involved Roman Senate.",Julius Caesar,Roman Senate,"Delhi, India",1583-08-07,battle,History
"A famous exhibition by Leonardo da Vinci is housed in Metropolitan Opera in New York, USA.",Leonardo da Vinci,Metropolitan Opera; Sydney Opera House,"New York, USA",1525-08-28,exhibition,Arts
"A policy announcement was passed by United Nations impacting Washington, USA.",Angela Merkel,United Nations,"Washington, USA",1703-01-19,policy announcement,Politics
"The uprising took place in Versailles, France and involved Allied Powers.",Cleopatra,Allied Powers,"Versailles, France",1949-11-29,uprising,History
"The season opener in London, UK featured Lionel Messi and NBA.",Lionel Messi; Cristiano Ronaldo,NBA,"London, UK",1631-12-02,season opener,Sports
"Records show uprising happened in Berlin, Germany around 1539-09-02.",Nelson Mandela,Ottoman Empire,"Berlin, Germany",1539-09-02,uprising,History
"Kamala Harris met leaders from Parliament in Geneva, Switzerland to discuss summit.",Kamala Harris,Parliament,"Geneva, Switzerland",1767-10-20,summit,Politics
NASA announced a field research that impacts genetics.,Marie Curie,NASA,"Cambridge, UK",1631-02-12,field research,Science
A study on particle discovery led by Rosalind Franklin was published on 1538-06-17.,Rosalind Franklin,CERN,"Geneva, Switzerland",1538-06-17,particle discovery,Science
Siemens acquired Reliance Industries in a deal valued at $1.2B.,Indra Nooyi,Siemens,"Mumbai, India",2012-08-26,acquisition,Business
"A bill passage was passed by European Union impacting New Delhi, India.",Narendra Modi,European Union,"New Delhi, India",2015-04-01,bill passage,Politics
"Researchers at CERN reported a field research in Cambridge, UK.",Rosalind Franklin,CERN,"Cambridge, UK",1607-03-01,field research,Science
"Sydney Opera House announced restoration of the painting in New York, USA.",Vincent van Gogh,Sydney Opera House,"New York, USA",1927-12-08,painting,Arts
"Records show expedition happened in Constantinople, Turkey around 1757-05-31.",Nelson Mandela,Ottoman Empire,"Constantinople, Turkey",1757-05-31,expedition,History
"The tournament in Madrid, Spain featured M.S. Dhoni and Wimbledon.",M.S. Dhoni; Serena Williams,Wimbledon,"Madrid, Spain",1920-12-12,tournament,Sports
Julius Caesar was a key figure in the Treaty signing.,Julius Caesar,Ottoman Empire,"Constantinople, Turkey",1966-10-03,Treaty signing,History
SpaceX released a robotics that improves 5G networks.,Satya Nadella,SpaceX,"Shenzhen, China",1522-08-29,robotics,Technology
"Records show battle happened in Constantinople, Turkey around 1549-02-10.",Winston Churchill,Allied Powers; Mughal Empire,"Constantinople, Turkey",1549-02-10,battle,History
Max Planck Institute announced a particle discovery that impacts climatology.,Jane Goodall,Max Planck Institute,"Geneva, Switzerland",1891-04-28,particle discovery,Science
"Records show coronation happened in Rome, Italy around 1988-08-07.",Julius Caesar,British Empire,"Rome, Italy",1988-08-07,coronation,History
"Farmers in Lima, Peru adopted irrigation technique adoption developed by ICAR.",Rachel Carson,ICAR,"Lima, Peru",1706-09-16,irrigation technique adoption,Agriculture
"The season opener in London, UK featured Serena Williams and FC Barcelona.",Serena Williams,FC Barcelona,"London, UK",1870-10-13,season opener,Sports
"Norman Borlaug led trials of yield improvement study in Nairobi, Kenya.",Norman Borlaug; Rachel Carson,FAO,"Nairobi, Kenya",1660-12-07,yield improvement study,Agriculture
"Records show coronation happened in Constantinople, Turkey around 1821-08-26.",Cleopatra,Mughal Empire,"Constantinople, Turkey",1821-08-26,coronation,History
Beyoncé exhibited a new exhibition at Tate Modern.,Beyoncé,Tate Modern,"New York, USA",1738-01-27,exhibition,Arts
A breakthrough in 5G networks was reported by OpenAI.,Satya Nadella,OpenAI,"Stockholm, Sweden",1932-08-01,5G networks,Technology
Wimbledon announced a new season opener for 2024-2025.,Lionel Messi,Wimbledon,"Madrid, Spain",1656-10-26,season opener,Sports
"Beyoncé premiered a exhibition at Vienna, Austria.",Beyoncé,Metropolitan Opera,"Vienna, Austria",1892-01-18,exhibition,Arts
Indra Nooyi became CEO of Siemens following the merger.,Indra Nooyi,Siemens,"Mumbai, India",1744-10-09,merger,Business
"The season opener in Madrid, Spain featured Lionel Messi and NBA.",Lionel Messi,NBA; FC Barcelona,"Madrid, Spain",1768-03-03,season opener,Sports
"Norman Borlaug led trials of irrigation technique adoption in Iowa, USA.",Norman Borlaug,AgriTech Ltd; ICAR,"Iowa, USA",1921-02-02,irrigation technique adoption,Agriculture
"Sydney Opera House announced restoration of the opera in Madrid, Spain.",Vincent van Gogh; Pablo Picasso,Sydney Opera House,"Madrid, Spain",1841-11-27,opera,Arts
A breakthrough in AI-driven sensors was reported by Apple.,Sundar Pichai; Marissa Mayer,Apple,"Bengaluru, India",1775-12-25,quantum computing,Technology
"Barack Obama met leaders from Congress in Washington, USA to discuss policy announcement.",Barack Obama,Congress; European Union,"Washington, USA",1740-09-25,policy announcement,Politics
Mahatma Gandhi was a key figure in the Treaty signing.,Mahatma Gandhi,Mughal Empire,"Constantinople, Turkey",1642-02-11,Treaty signing,History
A study by Norman Borlaug showed benefits of pest control trial for soybeans.,Norman Borlaug,CIMMYT,"Nairobi, Kenya",1651-10-23,pest control trial,Agriculture
Samsung acquired Reliance Industries in a deal valued at $15M.,Jamie Dimon,Samsung,"Mumbai, India",1612-07-10,acquisition,Business
A study by M. S. Swaminathan showed benefits of yield improvement study for maize.,M. S. Swaminathan,AgriTech Ltd,"Punjab, India",1893-08-02,yield improvement study,Agriculture
"Wangari Maathai led trials of pest control trial in Iowa, USA.",Wangari Maathai,International Rice Research Institute,"Iowa, USA",1711-12-15,pest control trial,Agriculture
"Researchers at Harvard University reported a field research in Cape Town, South Africa.",Albert Einstein,Harvard University,"Cape Town, South Africa",1828-09-04,field research,Science
merger led to restructuring at Goldman Sachs.,Tim Cook,Goldman Sachs,"New York, USA",1927-10-04,merger,Business
A breakthrough in robotics was reported by SpaceX.,Ada Lovelace,SpaceX,"London, UK",1908-01-29,AI-driven sensors,Technology
Wimbledon announced a new final match for 2022-2023.,Cristiano Ronaldo,Wimbledon,"Madrid, Spain",1599-02-04,final match,Sports
"The season opener in Madrid, Spain featured Cristiano Ronaldo and Wimbledon.",Cristiano Ronaldo,Wimbledon,"Madrid, Spain",1956-04-04,season opener,Sports
Albert Einstein published findings on particle discovery at NASA.,Albert Einstein; Rosalind Franklin,NASA,"Cape Town, South Africa",1743-06-03,particle discovery,Science
"Researchers at NASA reported a field research in Cambridge, UK.",Albert Einstein,NASA,"Cambridge, UK",1798-12-10,field research,Science
"Kamala Harris announced policy changes regarding climate at Washington, USA.",Kamala Harris,Congress,"Washington, USA",1575-07-04,bill passage,Politics
A study by Wangari Maathai showed benefits of yield improvement study for maize.,Wangari Maathai,International Rice Research Institute,"Iowa, USA",1701-04-04,yield improvement study,Agriculture
Google released a 5G networks that improves robotics.,Ada Lovelace,Google,"Bengaluru, India",1654-04-26,5G networks,Technology
A study by Rachel Carson showed benefits of irrigation technique adoption for wheat.,Rachel Carson; George Washington Carver,CIMMYT,"Lima, Peru",1801-12-20,irrigation technique adoption,Agriculture
"Ada Lovelace led the launch of a quantum computing in London, UK.",Ada Lovelace,Microsoft,"London, UK",1960-07-30,quantum computing,Technology
"Siemens opened a new office in Mumbai, India to expand cloud services.",Jamie Dimon,Siemens,"Mumbai, India",1527-11-20,acquisition,Business
"Marissa Mayer led the launch of a robotics in Shenzhen, China.",Marissa Mayer,Microsoft,"Shenzhen, China",1514-02-24,robotics,Technology
Grace Hopper announced a new 5G networks at Apple.,Grace Hopper,Apple,"Stockholm, Sweden",1681-03-12,5G networks,Technology
Wimbledon announced a new tournament for 2022-2023.,Serena Williams,Wimbledon,"London, UK",1689-09-18,tournament,Sports
Indra Nooyi became CEO of Siemens following the IPO.,Indra Nooyi,Siemens,"New York, USA",1875-06-24,IPO,Business
"A summit was passed by Parliament impacting Geneva, Switzerland.",Barack Obama,Parliament,"Geneva, Switzerland",1947-10-30,summit,Politics
Tim Cook became CEO of Samsung following the IPO.,Tim Cook,Samsung,"Mumbai, India",1699-06-30,IPO,Business
"Farmers in Nairobi, Kenya adopted yield improvement study developed by AgriTech Ltd.",Norman Borlaug,AgriTech Ltd,"Nairobi, Kenya",1777-01-02,yield improvement study,Agriculture
Mahatma Gandhi was a key figure in the battle.,Mahatma Gandhi,Mughal Empire,"Rome, Italy",1563-11-06,battle,History
"Records show uprising happened in Constantinople, Turkey around 1537-02-18.",Winston Churchill,Allied Powers,"Constantinople, Turkey",1537-02-18,uprising,History
CERN announced a particle discovery that impacts genetics.,Rosalind Franklin,CERN,"Cape Town, South Africa",1845-03-23,particle discovery,Science
"Researchers at NASA reported a particle discovery in Cape Town, South Africa.",Marie Curie,NASA,"Cape Town, South Africa",1978-12-22,particle discovery,Science
Jane Goodall published findings on field research at CERN.,Jane Goodall,CERN,"Geneva, Switzerland",1838-06-27,field research,Science
"ICAR introduced a irrigation technique adoption to improve yields in Nairobi, Kenya.",M. S. Swaminathan,ICAR,"Nairobi, Kenya",1733-03-10,irrigation technique adoption,Agriculture
Reliance Industries acquired Reliance Industries in a deal valued at $450M.,Sundar Pichai,Reliance Industries,"New York, USA",1576-11-04,acquisition,Business
Sundar Pichai became CEO of Reliance Industries following the merger.,Sundar Pichai; Jamie Dimon,Reliance Industries,"New York, USA",1917-05-27,merger,Business
"A policy announcement was passed by European Union impacting Washington, USA.",Angela Merkel; Kamala Harris,European Union,"Washington, USA",1557-10-01,policy announcement,Politics
"ICAR introduced a irrigation technique adoption to improve yields in Nairobi, Kenya.",Wangari Maathai,ICAR,"Nairobi, Kenya",2014-09-13,irrigation technique adoption,Agriculture
"International Rice Research Institute introduced a irrigation technique adoption to improve yields in Lima, Peru.",Rachel Carson,International Rice Research Institute,"Lima, Peru",2003-08-28,irrigation technique adoption,Agriculture
A study by Wangari Maathai showed benefits of pest control trial for soybeans.,Wangari Maathai,CIMMYT,"Nairobi, Kenya",1920-06-03,pest control trial,Agriculture
"Satya Nadella led the launch of a AI-driven sensors in Shenzhen, China.",Satya Nadella; Sundar Pichai,Google,"Shenzhen, China",1585-04-15,AI-driven sensors,Technology
NBA announced a new season opener for 2022-2023.,M.S. Dhoni,NBA,"London, UK",1996-02-05,season opener,Sports
"Marissa Mayer led the launch of a quantum computing in Bengaluru, India.",Marissa Mayer,OpenAI,"Bengaluru, India",1667-06-07,quantum computing,Technology
Tim Berners-Lee announced a new 5G networks at Google.,Tim Berners-Lee,Google,"London, UK",1779-02-13,5G networks,Technology
Rosalind Franklin published findings on climate study at Max Planck Institute.,Rosalind Franklin; Jane Goodall,Max Planck Institute,"Geneva, Switzerland",1563-11-20,climate study,Science
A study on climate study led by Rosalind Franklin was published on 1980-12-14.,Rosalind Franklin,NASA,"Cambridge, UK",1980-12-14,climate study,Science
"A famous painting by Ludwig van Beethoven is housed in Metropolitan Opera in Paris, France.",Ludwig van Beethoven,Metropolitan Opera,"Paris, France",1543-01-26,painting,Arts
"Rachel Carson led trials of irrigation technique adoption in Lima, Peru.",Rachel Carson,ICAR,"Lima, Peru",1868-09-01,irrigation technique adoption,Agriculture
"Farmers in Punjab, India adopted yield improvement study developed by International Rice Research Institute.",Wangari Maathai,International Rice Research Institute,"Punjab, India",1770-01-31,yield improvement study,Agriculture
"Kamala Harris met leaders from European Union in Washington, USA to discuss summit.",Kamala Harris,European Union; Parliament,"Washington, USA",1520-01-26,summit,Politics
Grace Hopper announced a new AI-driven sensors at Intel.,Grace Hopper,Intel,"Shenzhen, China",1925-04-25,AI-driven sensors,Technology
"Pablo Picasso premiered a symphony at Paris, France.",Pablo Picasso,Tate Modern,"Paris, France",1873-06-26,symphony,Arts
A study on gene sequencing led by Jane Goodall was published on 1749-01-26.,Jane Goodall,Max Planck Institute,"Geneva, Switzerland",1749-01-26,gene sequencing,Science
Indra Nooyi became CEO of Samsung following the merger.,Indra Nooyi,Samsung,"Frankfurt, Germany",1826-03-08,merger,Business
"Sundar Pichai led the launch of a quantum computing in Stockholm, Sweden.",Sundar Pichai,OpenAI,"Stockholm, Sweden",1745-09-30,quantum computing,Technology
"Angela Merkel met leaders from European Union in Washington, USA to discuss policy announcement.",Angela Merkel,European Union,"Washington, USA",1716-05-08,policy announcement,Politics
"Marissa Mayer led the launch of a robotics in Shenzhen, China.",Marissa Mayer,Google,"Shenzhen, China",1534-04-11,robotics,Technology
FC Barcelona announced a new final match for 2022-2023.,M.S. Dhoni,FC Barcelona,"Madrid, Spain",1604-06-16,final match,Sports
"Farmers in Nairobi, Kenya adopted yield improvement study developed by ICAR.",George Washington Carver,ICAR,"Nairobi, Kenya",1912-05-06,yield improvement study,Agriculture
"Farmers in Nairobi, Kenya adopted yield improvement study developed by CIMMYT.",Wangari Maathai,CIMMYT,"Nairobi, Kenya",1691-04-17,yield improvement study,Agriculture
Mary Barra became CEO of Samsung following the acquisition.,Mary Barra,Samsung,"Seoul, South Korea",1564-10-21,acquisition,Business
"Barack Obama announced policy changes regarding climate at Geneva, Switzerland.",Barack Obama,Parliament,"Geneva, Switzerland",1760-12-05,policy announcement,Politics
"Marissa Mayer led the launch of a AI-driven sensors in London, UK.",Marissa Mayer,Apple,"London, UK",1657-01-18,AI-driven sensors,Technology
Marie Curie published findings on particle discovery at CERN.,Marie Curie,CERN,"Geneva, Switzerland",1934-05-01,particle discovery,Science
"A bill passage was passed by Parliament impacting Washington, USA.",Barack Obama,Parliament,"Washington, USA",1512-07-27,bill passage,Politics
Harvard University announced a gene sequencing that impacts physics.,Isaac Newton,Harvard University,"Cambridge, UK",1769-09-26,gene sequencing,Science
"The Treaty signing took place in Berlin, Germany and involved Mughal Empire.",Nelson Mandela,Mughal Empire; British Empire,"Berlin, Germany",1839-01-24,Treaty signing,History
Wimbledon announced a new season opener for 2022-2023.,Cristiano Ronaldo,Wimbledon,"Madrid, Spain",1973-07-31,season opener,Sports
Reliance Industries acquired Goldman Sachs in a deal valued at $450M.,Sundar Pichai,Reliance Industries,"Frankfurt, Germany",1974-12-14,acquisition,Business
"Reliance Industries opened a new office in Mumbai, India to expand cloud services.",Sundar Pichai,Reliance Industries,"Mumbai, India",1772-05-11,restructuring,Business
"Pablo Picasso premiered a installation at Paris, France.",Pablo Picasso,Royal Academy,"Paris, France",1961-07-31,installation,Arts
"Researchers at Harvard University reported a climate study in Cape Town, South Africa.",Jane Goodall,Harvard University; Max Planck Institute,"Cape Town, South Africa",1643-08-24,climate study,Science
Jane Goodall published findings on field research at NASA.,Jane Goodall,NASA,"Cambridge, UK",1774-01-24,field research,Science
"The battle marked a turning point in Berlin, Germany's history.",Winston Churchill,Ottoman Empire,"Berlin, Germany",1971-08-27,battle,History
SpaceX released a edge computing that improves quantum computing.,Marissa Mayer,SpaceX,"Stockholm, Sweden",1799-09-02,edge computing,Technology
Nelson Mandela was a key figure in the expedition.,Nelson Mandela,Ottoman Empire,"Rome, Italy",1893-08-12,expedition,History
"The tournament in Madrid, Spain featured M.S. Dhoni and Wimbledon.",M.S. Dhoni; Cristiano Ronaldo,Wimbledon,"Madrid, Spain",1519-11-14,tournament,Sports
Grace Hopper announced a new 5G networks at Apple.,Grace Hopper,Apple,"Shenzhen, China",1749-08-03,5G networks,Technology
"The Treaty signing marked a turning point in Delhi, India's history.",Winston Churchill,Mughal Empire,"Delhi, India",1582-02-01,Treaty signing,History
"Narendra Modi announced policy changes regarding climate at Geneva, Switzerland.",Narendra Modi,Parliament,"Geneva, Switzerland",1500-06-27,summit,Politics
Siemens acquired Reliance Industries in a deal valued at $1.2B.,Mary Barra,Siemens,"Seoul, South Korea",1592-11-30,acquisition,Business
A breakthrough in 5G networks was reported by SpaceX.,Sundar Pichai,SpaceX,"London, UK",1515-10-21,5G networks,Technology
"Farmers in Punjab, India adopted yield improvement study developed by ICAR.",Wangari Maathai,ICAR,"Punjab, India",1514-12-01,yield improvement study,Agriculture
CERN announced a gene sequencing that impacts genetics.,Albert Einstein,CERN,"Cambridge, UK",1704-06-24,gene sequencing,Science
A study on field research led by Marie Curie was published on 1882-10-03.,Marie Curie,CERN; NASA,"Geneva, Switzerland",1882-10-03,field research,Science
"Angela Merkel announced policy changes regarding healthcare at Geneva, Switzerland.",Angela Merkel,European Union,"Geneva, Switzerland",1990-11-27,summit,Politics
"Marissa Mayer led the launch of a quantum computing in Silicon Valley, USA.",Marissa Mayer,IBM,"Silicon Valley, USA",1982-11-29,quantum computing,Technology
"A summit was passed by Parliament impacting New Delhi, India.",Narendra Modi,Parliament,"New Delhi, India",1648-09-26,summit,Politics
"Narendra Modi announced policy changes regarding healthcare at New Delhi, India.",Narendra Modi,Congress,"New Delhi, India",1967-07-02,summit,Politics
"The coronation took place in Berlin, Germany and involved Ottoman Empire.",Winston Churchill,Ottoman Empire,"Berlin, Germany",1596-01-31,coronation,History
"AgriTech Ltd introduced a irrigation technique adoption to improve yields in Punjab, India.",George Washington Carver,AgriTech Ltd,"Punjab, India",1509-08-05,irrigation technique adoption,Agriculture
NASA announced a field research that impacts biology.,Marie Curie,NASA,"Cambridge, UK",1911-07-13,field research,Science
"The coronation marked a turning point in Berlin, Germany's history.",Mahatma Gandhi,Ottoman Empire,"Berlin, Germany",1959-08-11,coronation,History
"The final match in London, UK featured M.S. Dhoni and NBA.",M.S. Dhoni,NBA,"London, UK",1757-02-15,final match,Sports
"A bill passage was passed by United Nations impacting Washington, USA.",Angela Merkel,United Nations,"Washington, USA",1902-07-07,bill passage,Politics
Tesla acquired Tesla in a deal valued at $15M.,Indra Nooyi,Tesla,"Mumbai, India",2020-08-16,acquisition,Business
"The coronation marked a turning point in Constantinople, Turkey's history.",Julius Caesar,British Empire,"Constantinople, Turkey",1886-08-30,coronation,History
Marissa Mayer announced a new robotics at Apple.,Marissa Mayer,Apple,"Silicon Valley, USA",1764-06-22,robotics,Technology
"Goldman Sachs opened a new office in New York, USA to expand consumer electronics.",Indra Nooyi,Goldman Sachs,"New York, USA",1506-12-02,acquisition,Business
"Farmers in Nairobi, Kenya adopted irrigation technique adoption developed by AgriTech Ltd.",M. S. Swaminathan,AgriTech Ltd,"Nairobi, Kenya",1708-01-30,irrigation technique adoption,Agriculture
"The Treaty signing marked a turning point in Constantinople, Turkey's history.",Cleopatra,Roman Senate,"Constantinople, Turkey",1892-01-20,Treaty signing,History
"Serena Williams led Wimbledon to victory at the tournament in Madrid, Spain.",Serena Williams,Wimbledon,"Madrid, Spain",1989-07-11,tournament,Sports
Jamie Dimon became CEO of Tesla following the acquisition.,Jamie Dimon,Tesla,"Mumbai, India",1658-09-29,acquisition,Business
"AgriTech Ltd introduced a irrigation technique adoption to improve yields in Lima, Peru.",Wangari Maathai,AgriTech Ltd,"Lima, Peru",1923-10-05,irrigation technique adoption,Agriculture
"Records show coronation happened in Delhi, India around 1841-04-20.",Queen Elizabeth I,Roman Senate,"Delhi, India",1841-04-20,coronation,History
"Rachel Carson led trials of pest control trial in Iowa, USA.",Rachel Carson,AgriTech Ltd,"Iowa, USA",1670-05-10,pest control trial,Agriculture
"A summit was passed by European Union impacting Geneva, Switzerland.",Barack Obama,European Union,"Geneva, Switzerland",2008-06-17,summit,Politics
Wimbledon announced a new final match for 2023-2024.,Serena Williams,Wimbledon,"Melbourne, Australia",1856-04-05,final match,Sports
"The final match in Madrid, Spain featured Cristiano Ronaldo and Wimbledon.",Cristiano Ronaldo,Wimbledon,"Madrid, Spain",1661-11-07,final match,Sports
"A famous opera by Pablo Picasso is housed in Sydney Opera House in Madrid, Spain.",Pablo Picasso,Sydney Opera House,"Madrid, Spain",1582-08-01,opera,Arts
"The season opener in London, UK featured M.S. Dhoni and FC Barcelona.",M.S. Dhoni,FC Barcelona,"London, UK",1583-09-10,season opener,Sports
"The final match in Madrid, Spain featured M.S. Dhoni and NBA.",M.S. Dhoni,NBA,"Madrid, Spain",1872-04-15,final match,Sports
CERN announced a climate study that impacts genetics.,Albert Einstein,CERN,"Geneva, Switzerland",1529-04-13,climate study,Science
Isaac Newton published findings on field research at CERN.,Isaac Newton,CERN,"Cambridge, UK",1744-02-29,field research,Science
Max Planck Institute announced a field research that impacts climatology.,Marie Curie,Max Planck Institute,"Cape Town, South Africa",1680-01-12,field research,Science
A breakthrough in edge computing was reported by OpenAI.,Elon Musk,OpenAI,"Bengaluru, India",1914-09-29,robotics,Technology
A study by George Washington Carver showed benefits of yield improvement study for soybeans.,George Washington Carver,International Rice Research Institute,"Punjab, India",1864-06-11,yield improvement study,Agriculture
Indra Nooyi became CEO of Siemens following the restructuring.,Indra Nooyi,Siemens,"Seoul, South Korea",1724-02-02,restructuring,Business
"Grace Hopper led the launch of a 5G networks in Stockholm, Sweden.",Grace Hopper,Microsoft; IBM,"Stockholm, Sweden",1625-02-04,5G networks,Technology
